indicator,year,raw_value,value,municipality_code,municipality_name,district_code,district_name,section_code,section_name
Renta bruta media por persona,2022,15.209,15209.0,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
Renta bruta media por persona,2021,14.546,14546.0,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
Renta bruta media por persona,2020,13.886,13886.0,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
Renta bruta media por persona,2019,13.714,13714.0,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
Renta bruta media por persona,2018,13.352,13352.0,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
Renta bruta media por persona,2017,13.279,13279.0,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
Renta bruta media por persona,2016,12.871,12871.0,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
Renta bruta media por hogar,2022,37.464,37464.0,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
Renta bruta media por hogar,2021,34.556,34556.0,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
Renta bruta media por hogar,2020,33.248,33248.0,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
Renta bruta media por hogar,2019,32.664,32664.0,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
Renta bruta media por hogar,2018,31.300,31300.0,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
Renta bruta media por hogar,2017,30.285,30285.0,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
Renta bruta media por hogar,2016,29.598,29598.0,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
Renta neta media por persona,2022,12.920,12920.0,28079,Madrid,2807912,Madrid distrito 12,2807912006,Madrid sección 12006
Renta neta media por persona,2021,12.381,12381.0,28079,Madrid,2807912,Madrid distrito 12,2807912006,Madrid sección 12006
Renta neta media por persona,2020,12.540,12540.0,28079,Madrid,2807912,Madrid distrito 12,2807912006,Madrid sección 12006
Renta neta media por persona,2019,12.050,12050.0,28079,Madrid,2807912,Madrid distrito 12,2807912006,Madrid sección 12006
Renta neta media por persona,2018,11.786,11786.0,28079,Madrid,2807912,Madrid distrito 12,2807912006,Madrid sección 12006
Renta neta media por persona,2017,11.336,11336.0,28079,Madrid,2807912,Madrid distrito 12,2807912006,Madrid sección 12006
