indicator,year,raw_value,value,municipality_code,municipality_name,district_code,district_name,section_code,section_name
Índice de Gini,2016,"28,9",28.9,28079,Madrid,2807912,Madrid distrito 12,2807912012,Madrid sección 12012
Distribución de la renta P80/P20,2022,"2,1",2.1,28079,Madrid,2807912,Madrid distrito 12,2807912012,Madrid sección 12012
Distribución de la renta P80/P20,2021,"2,4",2.4,28079,Madrid,2807912,Madrid distrito 12,2807912012,Madrid sección 12012
Distribución de la renta P80/P20,2020,"2,3",2.3,28079,Madrid,2807912,Madrid distrito 12,2807912012,Madrid sección 12012
Distribución de la renta P80/P20,2019,"2,3",2.3,28079,Madrid,2807912,Madrid distrito 12,2807912012,Madrid sección 12012
Distribución de la renta P80/P20,2018,"2,3",2.3,28079,Madrid,2807912,Madrid distrito 12,2807912012,Madrid sección 12012
Distribución de la renta P80/P20,2017,"2,5",2.5,28079,Madrid,2807912,Madrid distrito 12,2807912012,Madrid sección 12012
Distribución de la renta P80/P20,2016,"2,4",2.4,28079,Madrid,2807912,Madrid distrito 12,2807912012,Madrid sección 12012
Índice de Gini,2022,"25,6",25.6,28079,Madrid,2807912,Madrid distrito 12,2807912013,Madrid sección 12013
Índice de Gini,2021,"27,4",27.4,28079,Madrid,2807912,Madrid distrito 12,2807912013,Madrid sección 12013
Índice de Gini,2020,"27,5",27.5,28079,Madrid,2807912,Madrid distrito 12,2807912013,Madrid sección 12013
Índice de Gini,2019,"26,9",26.9,28079,Madrid,2807912,Madrid distrito 12,2807912013,Madrid sección 12013
Índice de Gini,2018,27,27.0,28079,Madrid,2807912,Madrid distrito 12,2807912013,Madrid sección 12013
Índice de Gini,2017,"28,6",28.6,28079,Madrid,2807912,Madrid distrito 12,2807912013,Madrid sección 12013
Índice de Gini,2016,"28,7",28.7,28079,Madrid,2807912,Madrid distrito 12,2807912013,Madrid sección 12013
Distribución de la renta P80/P20,2022,"2,3",2.3,28079,Madrid,2807912,Madrid distrito 12,2807912013,Madrid sección 12013
Distribución de la renta P80/P20,2021,"2,4",2.4,28079,Madrid,2807912,Madrid distrito 12,2807912013,Madrid sección 12013
Distribución de la renta P80/P20,2020,"2,5",2.5,28079,Madrid,2807912,Madrid distrito 12,2807912013,Madrid sección 12013
Distribución de la renta P80/P20,2019,"2,4",2.4,28079,Madrid,2807912,Madrid distrito 12,2807912013,Madrid sección 12013
Distribución de la renta P80/P20,2018,"2,3",2.3,28079,Madrid,2807912,Madrid distrito 12,2807912013,Madrid sección 12013
Distribución de la renta P80/P20,2017,"2,4",2.4,28079,Madrid,2807912,Madrid distrito 12,2807912013,Madrid sección 12013
Distribución de la renta P80/P20,2016,"2,3",2.3,28079,Madrid,2807912,Madrid distrito 12,2807912013,Madrid sección 12013
Índice de Gini,2022,"27,7",27.7,28079,Madrid,2807912,Madrid distrito 12,2807912014,Madrid sección 12014
Índice de Gini,2021,"28,3",28.3,28079,Madrid,2807912,Madrid distrito 12,2807912014,Madrid sección 12014
Índice de Gini,2020,"29,7",29.7,28079,Madrid,2807912,Madrid distrito 12,2807912014,Madrid sección 12014
Índice de Gini,2019,"29,4",29.4,28079,Madrid,2807912,Madrid distrito 12,2807912014,Madrid sección 12014
Índice de Gini,2018,"29,8",29.8,28079,Madrid,2807912,Madrid distrito 12,2807912014,Madrid sección 12014
Índice de Gini,2017,"30,1",30.1,28079,Madrid,2807912,Madrid distrito 12,2807912014,Madrid sección 12014
Índice de Gini,2016,"30,7",30.7,28079,Madrid,2807912,Madrid distrito 12,2807912014,Madrid sección 12014
Distribución de la renta P80/P20,2022,"2,5",2.5,28079,Madrid,2807912,Madrid distrito 12,2807912014,Madrid sección 12014
Distribución de la renta P80/P20,2021,"2,4",2.4,28079,Madrid,2807912,Madrid distrito 12,2807912014,Madrid sección 12014
Distribución de la renta P80/P20,2020,"2,4",2.4,28079,Madrid,2807912,Madrid distrito 12,2807912014,Madrid sección 12014
Distribución de la renta P80/P20,2019,"2,7",2.7,28079,Madrid,2807912,Madrid distrito 12,2807912014,Madrid sección 12014
Distribución de la renta P80/P20,2018,"2,6",2.6,28079,Madrid,2807912,Madrid distrito 12,2807912014,Madrid sección 12014
Distribución de la renta P80/P20,2017,"2,6",2.6,28079,Madrid,2807912,Madrid distrito 12,2807912014,Madrid sección 12014
Distribución de la renta P80/P20,2016,"2,9",2.9,28079,Madrid,2807912,Madrid distrito 12,2807912014,Madrid sección 12014
Índice de Gini,2022,"27,6",27.6,28079,Madrid,2807912,Madrid distrito 12,2807912015,Madrid sección 12015
Índice de Gini,2021,"27,8",27.8,28079,Madrid,2807912,Madrid distrito 12,2807912015,Madrid sección 12015
Índice de Gini,2020,"27,6",27.6,28079,Madrid,2807912,Madrid distrito 12,2807912015,Madrid sección 12015
Índice de Gini,2019,"29,5",29.5,28079,Madrid,2807912,Madrid distrito 12,2807912015,Madrid sección 12015
Índice de Gini,2018,"29,7",29.7,28079,Madrid,2807912,Madrid distrito 12,2807912015,Madrid sección 12015
Índice de Gini,2017,"28,9",28.9,28079,Madrid,2807912,Madrid distrito 12,2807912015,Madrid sección 12015
