indicator,year,raw_value,value,municipality_code,municipality_name,district_code,district_name,section_code,section_name
Fuente de ingreso: otras prestaciones,2016,474,474.0,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Fuente de ingreso: otros ingresos,2022,838,838.0,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Fuente de ingreso: otros ingresos,2021,1.019,1019.0,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Fuente de ingreso: otros ingresos,2020,900,900.0,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Fuente de ingreso: otros ingresos,2019,945,945.0,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Fuente de ingreso: otros ingresos,2018,905,905.0,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Fuente de ingreso: otros ingresos,2017,840,840.0,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Fuente de ingreso: otros ingresos,2016,717,717.0,28079,Madrid,2807912,Madrid distrito 12,2807912002,Madrid sección 12002
Fuente de ingreso: salario,2022,9.534,9534.0,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Fuente de ingreso: salario,2021,8.186,8186.0,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Fuente de ingreso: salario,2020,7.603,7603.0,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Fuente de ingreso: salario,2019,7.646,7646.0,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Fuente de ingreso: salario,2018,7.099,7099.0,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Fuente de ingreso: salario,2017,7.142,7142.0,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Fuente de ingreso: salario,2016,6.789,6789.0,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Fuente de ingreso: pensiones,2022,4.267,4267.0,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Fuente de ingreso: pensiones,2021,4.223,4223.0,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
Fuente de ingreso: pensiones,2020,4.296,4296.0,28079,Madrid,2807912,Madrid distrito 12,2807912003,Madrid sección 12003
