year,month,magnitude,value,normalized,year-month
2001,10,Ozono,23.70967742,1.208881579,2001-10
2001,10,Partículas < 10 µm,29.47741935,1.017028381,2001-10
2001,10,Tolueno,7.187096774,0.70797585,2001-10
2001,11,Benceno,1.225806452,0.4210526316,2001-11
2001,11,Dióxido de Azufre,22.13709677,0.9830097087,2001-11
2001,11,Dióxido de Nitrógeno,60.28739003,1.115988709,2001-11
2001,11,Etilbenceno,1.24516129,0.3634651601,2001-11
2001,11,Hidrocarburos no metánicos (hexano),0.1341935484,0.9454545455,2001-11
2001,11,Hidrocarburos totales (hexano),1.323548387,0.9220224719,2001-11
2001,11,Metano,1.192258065,0.9200896191,2001-11
2001,11,Monóxido de Carbono,0.9728110599,0.8808219893,2001-11
2001,11,Monóxido de Nitrógeno,86.70674487,1.101564465,2001-11
2001,11,Óxidos de Nitrógeno,193.2609971,1.106422034,2001-11
2001,11,Ozono,19.77419355,1.008223684,2001-11
2001,11,Partículas < 10 µm,30.6516129,1.057540345,2001-11
2001,11,Tolueno,6.212903226,0.6120114395,2001-11
2001,12,Benceno,2.564516129,0.8808864266,2001-12
2001,12,Dióxido de Azufre,26.34677419,1.169942703,2001-12
2001,12,Dióxido de Nitrógeno,82.06451613,1.51910828,2001-12
2001,12,Etilbenceno,2.109677419,0.615819209,2001-12
2001,12,Hidrocarburos no metánicos (hexano),0.1761290323,1.240909091,2001-12
2001,12,Hidrocarburos totales (hexano),1.23,0.8568539326,2001-12
2001,12,Metano,1.056129032,0.8150360966,2001-12
2001,12,Monóxido de Carbono,1.507834101,1.365253221,2001-12
2001,12,Monóxido de Nitrógeno,149.6920821,1.901760683,2001-12
2001,12,Óxidos de Nitrógeno,311.5747801,1.783770171,2001-12
2001,12,Ozono,9.521505376,0.4854714912,2001-12
2001,12,Partículas < 10 µm,46.98709677,1.621146355,2001-12
2001,12,Tolueno,11.56774194,1.139497935,2001-12
2002,1,Benceno,1.796774194,0.6171745152,2002-1
2002,1,Dióxido de Azufre,18.71774194,0.8311714149,2002-1
2002,1,Dióxido de Nitrógeno,68.85337243,1.274554864,2002-1
2002,1,Etilbenceno,1.735483871,0.5065913371,2002-1
2002,1,Hidrocarburos no metánicos (hexano),0.1606451613,1.131818182,2002-1
2002,1,Hidrocarburos totales (hexano),1.39483871,0.9716853933,2002-1
2002,1,Metano,1.237419355,0.9549414986,2002-1
2002,1,Monóxido de Carbono,1.123041475,1.016846607,2002-1
2002,1,Monóxido de Nitrógeno,100.8093842,1.280731222,2002-1
2002,1,Óxidos de Nitrógeno,223.4428152,1.279213384,2002-1
2002,1,Ozono,12.44623656,0.6345942982,2002-1
2002,1,Partículas < 10 µm,32.45806452,1.119866444,2002-1
2002,1,Tolueno,8.148387097,0.8026692088,2002-1
2002,2,Benceno,1.412903226,0.4853185596,2002-2
2002,2,Dióxido de Azufre,14.4516129,0.6417316569,2002-2
2002,2,Dióxido de Nitrógeno,58.02052786,1.074026491,2002-2
